plan_id,plan_name,billing,price,currency,price_usd,served_model,monthly_tokens,monthly_yi,real_usd_per_mtok,confidence,chart_tier,source,decision_note
chatgpt_plus,ChatGPT Plus,subscription,20,USD,20,gpt-5.6-sol,616000000,6.16,0.03247,medium,main,awesome-coding-plan 2026-07-30 实测,
chatgpt_pro_5x,ChatGPT Pro 5x,subscription,100,USD,100,gpt-5.6-sol,3080000000,30.8,0.03247,medium,full,Plus × 官方 5x,flat.json 写 38.9 与官方 5x 不符，改 30.8
chatgpt_pro_20x,ChatGPT Pro 20x,subscription,200,USD,200,gpt-5.6-sol,12320000000,123.2,0.01623,high,main,Plus × 官方 20x,用户拍板 123.2；两个独立印证：OpenAI 社区健康周 7.87 亿 = 24% → 131 亿/月；《财经》2026-08 跑满实测 109 亿/月；文章 200 亿作废
claude_pro,Claude Pro,subscription,20,USD,20,claude-opus-4.8,1588000000,15.88,0.01259,medium,main,awesome-coding-plan 实测,Opus4.8历史实测保留，现服务Opus5未重测；round5候选Opus5约1.9亿依赖假定周消息数，用户未确认，不作为实测收紧证据
claude_max_20x,Claude Max 20x (9/14+),subscription,200,USD,200,claude-opus-5,15700000000,157.0,0.01274,medium,main,Zenn skipbit实测+用户永久口径；claude-adoption-round6-2026-09-06.json,旧80亿→157亿，9/14起永久口径：47.2亿/周×4÷1.5×1.25≈157；参考区间110~200亿，单点medium。混合模型及非完全同窗样本，非纯Opus5实测硬上限；不取活动期189或裸基准126；历史413/117等旁证保留，不直接采用
claude_max_5x,Claude Max 5x (9/14+),subscription,100,USD,100,claude-opus-5,7850000000,78.5,0.01274,medium,full,用户明确20x周池仅为5x的2倍；claude-adoption-round6-2026-09-06.json,旧35.6亿→78.5亿，9/14起永久口径157÷2；low→medium按用户确认周池关系推算，非独立实测；不采用36亿消息数候选或70亿/旧2.25倍率；5h窗口4倍关系不套周池
supergrok,SuperGrok,subscription,30,USD,30,grok-4.6,509000000,5.09,0.05894,high,main,V2EX 受控打满实测（非双倍周）1%→100% 新增 1.27 亿/周 ×4,面板周额度 $25；同帖双倍活动周 2.45 亿/周不采；linux.do 另测 1.44 亿/周同量级
supergrok_plus,SuperGrok Plus,subscription,100,USD,100,grok-4.6,2040000000,20.4,0.04902,medium,full,面板周额度 $100 × Super 标定 508 万 token/$ ×4,linux.do 用户口述「每用一刀涨 1%」→ 周 $100 吻合
supergrok_heavy,SuperGrok Heavy,subscription,300,USD,300,grok-4.6,5090000000,50.9,0.05894,medium,main,面板周额度 $250 × Super 标定 508 万 token/$ ×4,= Cursor 最初记录的周 12 亿；标价换算 18 亿作废（面板美元≠标价美元）；Zhang $11.5k/月 → 208 亿未采
supergrok_lite,SuperGrok Lite,subscription,10,USD,10,grok-4.6,150000000,1.5,0.06667,low,full,aa_grok_build_2026_07,面板周额度未知，三轮联网均无
