真实单价总览 · 订阅与 API 统一对比
美元/credits与API三段价统一按97.5%缓存 / 2.15%输入 / 0.35%输出折算；直接total-token实测不重算
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月   服务模型                      月额度(亿)  $/MTok   置信度
----  ---------------------------------  --------  ----------------------------  ----------  -------  ------
1     OpenCode Go                        USD 10    Muse Spark 1.3 Contributor    125         0.0008   medium
2     OpenCode Go                        USD 10    Muse Spark 1.2 Contributor    125         0.0008   medium
3     OpenCode Go                        USD 10    MiMo V2.5                     89.286      0.00112  medium
4     ChatGPT Pro 20x                    USD 200   GPT 5.6 Luna                  1502.22     0.00133  medium
5     Command Code GOAT                  USD 10    DeepSeek V4 Flash             72.727      0.00138  medium
6     Command Code GOAT                  USD 10    DeepSeek V4.1 Flash           72.727      0.00138  medium
7     Command Code GOAT                  USD 10    MiMo V2.5                     44.643      0.00224  medium
8     Command Code GOAT                  USD 10    Muse Spark 1.3 Contributor    41.667      0.0024   medium
9     Command Code GOAT                  USD 10    Muse Spark 1.2 Contributor    41.667      0.0024   medium
10    ChatGPT Plus                       USD 20    GPT 5.6 Luna                  75.11       0.00266  high
11    ChatGPT Pro 5x                     USD 100   GPT 5.6 Luna                  375.56      0.00266  medium
12    OpenCode Go                        USD 10    LongCat 2.0                   36.364      0.00275  medium
13    OpenCode Go                        USD 10    DeepSeek V4 Flash             36.364      0.00275  medium
14    GLM Coding Pro (v2 ¥149) 闲时      CNY 149   GLM 5.3 Flash                 76.99       0.00285  high
15    GLM Coding Pro (v2 ¥149) 中间值    CNY 149   GLM 5.3 Flash                 57.74       0.00381  high
16    GLM Coding Max (v2 ¥469) 闲时      CNY 469   GLM 5.3 Flash                 179.65      0.00385  high
17    Ollama Pro                         USD 20    DeepSeek V4 Flash             43.274      0.00462  medium
18    Ollama Max                         USD 100   DeepSeek V4 Flash             216.372     0.00462  medium
19    Claude Pro                         USD 20    Claude Sonnet 5               39.7        0.00504  medium
20    Claude Max 20x (9/14+)             USD 200   Claude Sonnet 5               392.5       0.0051   medium
21    Claude Max 5x (9/14+)              USD 100   Claude Sonnet 5               196.25      0.0051   low
22    GLM Coding Max (v2 ¥469) 中间值    CNY 469   GLM 5.3 Flash                 134.73      0.00514  high
23    OpenCode Go                        USD 10    DeepSeek V4.1 Flash           18.182      0.0055   medium
24    OpenCode Go                        USD 10    DeepSeek V4 Flash Vision Exp  18.182      0.0055   medium
25    Command Code GOAT                  USD 10    Hy3                           17.873      0.0056   medium
26    GLM Coding Lite (v2 ¥49) 闲时      CNY 49    GLM 5.3 Flash                 12.83       0.00563  high
27    Ollama Pro                         USD 20    Nemotron 3 Super              35.196      0.00568  medium
28    Ollama Max                         USD 100   Nemotron 3 Super              175.979     0.00568  medium
29    OpenCode Go                        USD 10    GLM 5.3 Flash                 17.531      0.0057   medium
30    GLM Coding Pro (v2 ¥149) 忙时      CNY 149   GLM 5.3 Flash                 38.5        0.00571  high
31    Ollama Pro                         USD 20    GPT-OSS 120B                  31.621      0.00632  medium
32    Ollama Max                         USD 100   GPT-OSS 120B                  158.103     0.00632  medium
33    OpenCode Go                        USD 10    Hy3                           15.32       0.00653  medium
34    OpenCode Go                        USD 10    Qwen3.8 Flash                 14.656      0.00682  medium
35    Command Code GOAT                  USD 10    DeepSeek V4 Flash Vision Exp  14.425      0.00693  medium
