Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee    Served model                  Monthly tokens (B)  USD/MTok  Confidence
---  ----------------------------------  -------------  ----------------------------  ------------------  --------  ----------
1    OpenCode Go                         USD 10         Muse Spark 1.3 Contributor    12.5                0.0008    medium
2    OpenCode Go                         USD 10         Muse Spark 1.2 Contributor    12.5                0.0008    medium
3    OpenCode Go                         USD 10         MiMo V2.5                     8.9286              0.00112   medium
4    ChatGPT Pro 20x                     USD 200        GPT 5.6 Luna                  150.222             0.00133   medium
5    Command Code GOAT                   USD 10         DeepSeek V4 Flash             7.2727              0.00138   medium
6    Command Code GOAT                   USD 10         DeepSeek V4.1 Flash           7.2727              0.00138   medium
7    Command Code GOAT                   USD 10         MiMo V2.5                     4.4643              0.00224   medium
8    Command Code GOAT                   USD 10         Muse Spark 1.3 Contributor    4.1667              0.0024    medium
9    Command Code GOAT                   USD 10         Muse Spark 1.2 Contributor    4.1667              0.0024    medium
10   ChatGPT Plus                        USD 20         GPT 5.6 Luna                  7.511               0.00266   high
11   ChatGPT Pro 5x                      USD 100        GPT 5.6 Luna                  37.556              0.00266   medium
12   OpenCode Go                         USD 10         LongCat 2.0                   3.6364              0.00275   medium
13   OpenCode Go                         USD 10         DeepSeek V4 Flash             3.6364              0.00275   medium
14   GLM Coding Pro (v2 ¥149) Off-peak   CNY 149        GLM 5.3 Flash                 7.699               0.00285   high
15   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149        GLM 5.3 Flash                 5.774               0.00381   high
16   GLM Coding Max (v2 ¥469) Off-peak   CNY 469        GLM 5.3 Flash                 17.965              0.00385   high
17   Ollama Pro                          USD 20         DeepSeek V4 Flash             4.3274              0.00462   medium
18   Ollama Max                          USD 100        DeepSeek V4 Flash             21.6372             0.00462   medium
19   Claude Pro                          USD 20         Claude Sonnet 5               3.97                0.00504   medium
20   Claude Max 20x (9/14+)              USD 200        Claude Sonnet 5               39.25               0.0051    medium
21   Claude Max 5x (9/14+)               USD 100        Claude Sonnet 5               19.625              0.0051    low
22   GLM Coding Max (v2 ¥469) Midpoint   CNY 469        GLM 5.3 Flash                 13.473              0.00514   high
23   OpenCode Go                         USD 10         DeepSeek V4.1 Flash           1.8182              0.0055    medium
24   OpenCode Go                         USD 10         DeepSeek V4 Flash Vision Exp  1.8182              0.0055    medium
25   Command Code GOAT                   USD 10         Hy3                           1.7873              0.0056    medium
26   GLM Coding Lite (v2 ¥49) Off-peak   CNY 49         GLM 5.3 Flash                 1.283               0.00563   high
27   Ollama Pro                          USD 20         Nemotron 3 Super              3.5196              0.00568   medium
28   Ollama Max                          USD 100        Nemotron 3 Super              17.5979             0.00568   medium
29   OpenCode Go                         USD 10         GLM 5.3 Flash                 1.7531              0.0057    medium
30   GLM Coding Pro (v2 ¥149) Peak       CNY 149        GLM 5.3 Flash                 3.85                0.00571   high
31   Ollama Pro                          USD 20         GPT-OSS 120B                  3.1621              0.00632   medium
32   Ollama Max                          USD 100        GPT-OSS 120B                  15.8103             0.00632   medium
33   OpenCode Go                         USD 10         Hy3                           1.532               0.00653   medium
34   OpenCode Go                         USD 10         Qwen3.8 Flash                 1.4656              0.00682   medium
